The Purpose of Life: To Be Proved,Franklin D. Richards,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1060-elder-franklin-d-richards-64k-eng.mp3?download=true
Satan’s Thrust—Youth,Ezra Taft Benson,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-1070-elder-ezra-taft-benson-64k-eng.mp3?download=true
Should the Commandments Be Rewritten?,Richard L. Evans,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2010-elder-richard-l-evans-64k-eng.mp3?download=true
The Sifting,ElRay L. Christiansen,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2020-elder-elray-l-christiansen-64k-eng.mp3?download=true
The Ten Commandments,Bernard P. Brockbank,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2030-elder-bernard-p-brockbank-64k-eng.mp3?download=true
Sacrifice Still Brings Forth Blessings,Hartman Rector Jr.,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2040-elder-hartman-rector-jr-64k-eng.mp3?download=true
“By Love, Serve One Another”,S. Dilworth Young,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2050-elder-s-dilworth-young-64k-eng.mp3?download=true
The Vitality of Love,Milton R. Hunter,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2060-elder-milton-r-hunter-64k-eng.mp3?download=true
Elijah the Prophet,Howard W. Hunter,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-2070-elder-howard-w-hunter-64k-eng.mp3?download=true
“Watch, That Ye May Be Ready”,Harold B. Lee,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-3010-president-harold-b-lee-64k-eng.mp3?download=true
Honesty, a Principle of Salvation,Mark E. Petersen,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-3020-elder-mark-e-petersen-64k-eng.mp3?download=true
“The Light Shineth”,Marion G. Romney,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-3030-elder-marion-g-romney-64k-eng.mp3?download=true
“Thus Saith the Lord”,Theodore M. Burton,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-3040-elder-theodore-m-burton-64k-eng.mp3?download=true
Sustaining of General Authorities and Officers,Laying a Foundation for the Millennium,October 1971,None
Laying a Foundation for the Millennium,LeGrand Richards,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-4020-elder-legrand-richards-64k-eng.mp3?download=true
Confession and Forsaking: Elements of Genuine Repentance,James A. Cullimore,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-4030-elder-james-a-cullimore-64k-eng.mp3?download=true
“I Was in Prison, and Ye Came unto Me”,Victor L. Brown,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-4040-bishop-victor-l-brown-64k-eng.mp3?download=true
The Things That Matter Most,A. Theodore Tuttle,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-4050-elder-a-theodore-tuttle-64k-eng.mp3?download=true
Thou Shalt Not,Sterling W. Sill,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-4060-elder-sterling-w-sill-64k-eng.mp3?download=true
Our Responsibility: To Save the World,Delbert L. Stapley,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-4070-elder-delbert-l-stapley-64k-eng.mp3?download=true
Blessings of the Priesthood,Joseph Fielding Smith,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5010-president-joseph-fielding-smith-64k-eng.mp3?download=true
You Can Get There from Here,Marvin J. Ashton,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5020-elder-marvin-j-ashton-64k-eng.mp3?download=true
“Strengthen Thy Brethren”,Robert L. Simpson,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5030-bishop-robert-l-simpson-64k-eng.mp3?download=true
Love Unconditional,Marion D. Hanks,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5040-elder-marion-d-hanks-64k-eng.mp3?download=true
A New Health Missionary Program,James O. Mason,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5050-dr-james-o-mason-64k-eng.mp3?download=true
Strive for Excellence,Dallin H. Oaks,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5060-elder-dallin-h-oaks-64k-eng.mp3?download=true
Continuity of Service,N. Eldon Tanner,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5070-president-n-eldon-tanner-64k-eng.mp3?download=true
Responsibilities of the Priesthood,Harold B. Lee,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-5080-president-harold-b-lee-64k-eng.mp3?download=true
“Where Art Thou?”,N. Eldon Tanner,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-6010-president-n-eldon-tanner-64k-eng.mp3?download=true
“Turn Heavenward Our Eyes”,John H. Vandenberg,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-6020-bishop-john-h-vandenberg-64k-eng.mp3?download=true
What Is a Teacher?,Paul H. Dunn,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-6030-elder-paul-h-dunn-64k-eng.mp3?download=true
The Nobility of Man in Choosing Good over Evil,Alvin R. Dyer,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-6040-elder-alvin-r-dyer-64k-eng.mp3?download=true
Glimpses of Heaven,Spencer W. Kimball,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-6050-president-spencer-w-kimball-64k-eng.mp3?download=true
“If Ye Be Willing and Obedient”,Gordon B. Hinckley,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-7010-elder-gordon-b-hinckley-64k-eng.mp3?download=true
The Living Christ,Joseph Anderson,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-7020-elder-joseph-anderson-64k-eng.mp3?download=true
How to Worship,Bruce R. McConkie,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-7030-elder-bruce-r-mcconkie-64k-eng.mp3?download=true
With Hand and Heart,Thomas S. Monson,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-7040-elder-thomas-s-monson-64k-eng.mp3?download=true
This Same Jesus,Hugh B. Brown,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-7050-elder-hugh-b-brown-64k-eng.mp3?download=true
Let the Spirit of Oneness Prevail,Joseph Fielding Smith,October 1971,https://media2.ldscdn.org/assets/general-conference/october-1971-general-conference/1971-10-7060-president-joseph-fielding-smith-64k-eng.mp3?download=true
The Annual Report of the Church,Audit Report 1971,April 1972,None
Audit Report 1971,Wilford G. Edling,April 1972,None
Sustaining of General Authorities and Officers,Counsel to the Saints and to the World,April 1972,None
Counsel to the Saints and to the World,Joseph Fielding Smith,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-1040-president-joseph-fielding-smith-64k-eng.mp3?download=true
A People of Sound Judgment,Mark E. Petersen,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-1050-elder-mark-e-petersen-64k-eng.mp3?download=true
We Are Called of God,Loren C. Dunn,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-1060-elder-loren-c-dunn-64k-eng.mp3?download=true
A Challenge to the Priesthood,Vaughn J. Featherstone,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-1070-bishop-vaughn-j-featherstone-64k-eng.mp3?download=true
Setting the Example in the Home,H. Burke Peterson,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-1080-bishop-h-burke-peterson-64k-eng.mp3?download=true
Keep the Lines of Communication Strong,Spencer W. Kimball,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-1090-president-spencer-w-kimball-64k-eng.mp3?download=true
Courts of Love,Robert L. Simpson,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-2010-elder-robert-l-simpson-64k-eng.mp3?download=true
The Miracle of Missionary Work,Milton R. Hunter,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-2020-elder-milton-r-hunter-64k-eng.mp3?download=true
The Last Dispensation,Alvin R. Dyer,April 1972,https://media2.ldscdn.org/assets/general-conference/april-1972-general-conference/1972-04-2030-elder-alvin-r-dyer-64k-eng.mp3?download=true
